title	descr	start_by_plan	finish_by_plan	cultivation_assignment_id	start_prognosed	finish_prognosed
Substrate mixing for Eisberg	rock flour 15%, torf 55%, sand 10%, compost 25%	2020-02-01	2020-03-15	1	2020-02-01	2020-03-15
Seeding	2 seeds pro cell	2020-02-15	2020-03-20	1	2020-02-15	2020-03-20
Propagation	3days	2020-02-15	2020-03-23	1	2020-02-15	2020-03-23
Hornmist ausbringung	Ausgrabung,Dynamisierung, Ausbringung	2020-03-01	2020-04-18	1	2020-03-01	2020-04-18
Hornkiesel	Ausgrabung,Dynamisierung, Ausbringung	2020-04-10	2020-04-30	1	2020-04-10	2020-04-30
substrate mixing for paprica	rock flour 10%, torf 40, sand 10%, compost 40%	2020-02-12	2020-03-01	12	2020-02-12	2020-03-01
soaking in camomile	wrap in paper and soak with camomile tee	2020-02-12	2020-03-01	12	2020-02-12	2020-03-01
Propagation	3days	2020-02-18	2020-03-10	12	2020-02-18	2020-03-10
ruge and replant	wrap in paper and soak with camomile tee	2020-04-03	2020-03-31	12	2020-04-03	2020-03-31
Hornmist ausbringung	Ausgrabung,Dynamisierung, Ausbringung	2020-03-01	2020-04-15	12	2020-03-01	2020-04-15
Hornkiesel	Ausgrabung,Dynamisierung, Ausbringung	2020-04-01	2020-04-30	12	2020-04-01	2020-04-30
substrate mixing for savoy cabbage	rock flour 10%, torf 60, sand 10%, compost 20%	2020-02-01	2020-03-01	13	2020-02-01	2020-03-01
Seeding	2 seeds pro cell	2020-02-15	2020-03-15	13	2020-02-15	2020-03-15
Propagation	3days	2020-02-15	2020-03-18	13	2020-02-15	2020-03-18
Hornmist ausbringung	Ausgrabung,Dynamisierung, Ausbringung	2020-03-01	2020-04-18	13	2020-03-01	2020-04-18
Hornkiesel	Ausgrabung,Dynamisierung, Ausbringung	2020-04-10	2020-04-30	13	2020-04-10	2020-04-30