code	comment	title	descr
site	Имя сайта	КЛУБ ЖИВОЙ ЕДЫ	.
page_main	Заголовок главной страницы	Экологически чистая продукция с биодинамических ферм	.
rules	Правила участия	Правила участия	1. Участие в Клубе Живой Еды состоит из солидарного взноса (депозита) и взносов за доли урожая.\n2. Взносы за долю урожая составляют 2000 р за каждую поставку доли или 12000 р за всю волну урожая (6 долей).\n3. Солидарный взнос с 2020-го года - это обязательный вступительный взнос, который составляет 20 тыс. р. для каждого участника. Солидарный взнос сдается при вступлении в клуб и возвращается по желанию участника при выходе из клуба в конце сезона.\n4. Любой участник может быть освобожден от взноса за долю урожая, если он оказывает помощь в сортировках и сборах урожая (2 сортировки = 1 взнос за долю урожая).\n5. Также участники могут участвовать в других работах и развитии клуба на усмотрение организаторов и сообщества как часть команды реализации проекта.\n6. Агрономический сезон разбит на волны поставок, и взносы за доли урожая переводятся в кассу обеспечения до начала волны (6 поставок).\n7. В случае возникновения неожиданных обстоятельств (невозможности принятия поставки), можно перенести неиспользованную поставку на следующую волну (взять джокер). За весь сезон можно взять максимум 3 джокера.
join	Как присоединиться	Как стать участником	Чтобы стать участником Клуба Живой Еды и начать получать экологически чистые продукты, необходимо подать заявку, заполнив размещенную ниже на странице форму. В тексте сообщения, пожалуйста, укажите, желаете ли вы присоединиться к уже существующему пункту доставки (см. карту) или имеете намерение организовать свой. Мы свяжемся с Вами и ответим на все ваши вопросы.
payment	Реквизиты	Реквизиты для оплаты	Компания:        Индивидуальный предприниматель Жаров Алексей Борисович\nИНН:        772806692227\nСчёт (₽):        40802810701500059843\nБанк:        ТОЧКА ПАО БАНКА "ФК ОТКРЫТИЕ"\nБИК:        044525999\nГород:        Москва\nКорр. счёт:        30101810845250000999\nИли по номеру карты\nКарта:        5140 1702 8876 6844
intro	Вступление	Натуральные продукты, которых нет в магазинах	Клуб Живой Еды дает своим участникам уникальную возможность, которой лишены практически все городские жители. Экологически чистые натуральные продукты, выращенные на современных биодинамических фермах попадают к нам на стол почти сразу же после того, как был собран урожай. Участники клуба точно знают происхождение этих продуктов, где и в каких условиях они росли, как осуществлялся уход, когда продукция была собрана с полей, кто ее выращивал и даже (при желании) самим поучавствовать в ее выращивании (подробнее см. в разделе "<a href='/questions_and_answers'>Вопросы и ответы</a>").
page_participation	Ссылка на КАК СТАТЬ УЧАСТНИКОМ	КАК СТАТЬ УЧАСТНИКОМ	.
page_faq	Ссылка на FAQ	ВОПРОСЫ И ОТВЕТЫ	.
page_login	Ссылка на LOGIN	ЛИЧНЫЙ КАБИНЕТ	.
page_contact	Ссылка на КОНТАКТЫ	СВЯЗАТЬСЯ С НАМИ	.
page_supplies	Ссылка ПОСТАВКИ	ПОСТАВКИ	.
page_farms	Ссылка на ФЕРМЫ	ФЕРМЫ	.
page_crops	Ссылка на КУЛЬТУРЫ	КУЛЬТУРЫ	.
page_delivery_points	Ссылка на ПУНКТЫ ДОСТАВКИ	ПУНКТЫ ДОСТАВКИ	.
page_workflow	Ссылка на ГРАФИК РАБОТ	ГРАФИК РАБОТ И ПОСТАВОК	.
page_map	Ссылка на КАРТУ	ПРОЕКТ НА КАРТЕ	.
page_publications	Ссылка на ПУБЛИКАЦИИ	ПУБЛИКАЦИИ	.